Calorific Value CH4 [kWh/m^3];9.97;;;;;;;;;;;;;;;;;
Calorific Value Diesel [kW/L];9.96;;;;;;;;;;;;;;;;;
Annual runtime [h];7884;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
